,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
日付,評価,名前,プロフィールURL,年代・性別,使い道,使う人,購入した回数,レビューのタイトル,レビューの本文
2020-09-09,5,"ゲストさん"" ","
","
",実用品・普段使い,自分用,はじめて,"
",近くのお店にはマシェリのモイスチャータイプが置いていないので助かりました。旅行用のミニサイズで香りと洗い上がりが気に入ったのでボトルでも揃えました。
2020-06-17,5,"ゲストさん"" ","
","
",実用品・普段使い,自分用,リピート,"
","リピートです。　

近くのお店より大変お得に購入できました！　

ありがとうございます！！"
2020-05-29,3,"""薔薇のある庭さん"" ",https://review.rakuten.co.jp/my/NmY4ZWJiMTUzNjA3NzgxNA__/1.0.0.1/,40代 女性,実用品・普段使い,自分用,リピート,エアフィールの品揃え 希望,"以前、トライアルの小分け商品があり結構よかったのでボトル買い。　

しかし本当は「さらさらエアフィール」のほうが使ってみたいのですがお店に無いので、こちらの商品にしました。　

エアフィールのトライアルがあれば3日分くらい使ってみたいです。"
2020-03-29,5,"""しおりザックザックさん"" ",https://review.rakuten.co.jp/my/Zjg2OWFiODZjNGZh/1.0.0.1/,50代 男性,"
","
","
","
",これにかえてから、頭のかゆみがなくなりました。それなりに良いものです。
2019-11-07,5,"""コロ4917さん"" ",https://review.rakuten.co.jp/my/NzhlYmM5NzdkYWQz/1.0.0.1/,40代 女性,実用品・普段使い,自分用,リピート,迅速,すごく、香りもよく、癒されます。届くのも早くて、満足してます。
