,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
日付,評価,名前,プロフィールURL,年代・性別,使い道,使う人,購入した回数,レビューのタイトル,レビューの本文
2015-12-31,5,"ゲストさん"" ","
","
",実用品・普段使い,自分用,はじめて,送料対策もかねて,"ルミニークのトリートメント＆シャンプーの香りが好きで使用しています。　

\527（税込）の方を今回それぞれまとめ買いして、「レビュー歓迎！:送料無料」のこの商品を送料対策として一つ購入しました。次回も値上がりしていなかったらまたこちらで購入したいです。"
2015-12-30,5,"ゲストさん"" ","
","
","
","
","
","
",シリコン入りも悪くはないのだけど、浴室床がグレーなのでシミになって困ってコンディショナーやトリートメントを止めてました。。。ノンシリコンなのに結構良い感じです。リピ有りね。
2015-12-14,5,"ゲストさん"" ","
","
",実用品・普段使い,自分用,リピート,"
",ラックスのルミニークは香りもいいし、洗い上がりも良く、髪もさらさらになるので気に入っています。送料無料もうれしいですね。
2015-12-06,5,"ゲストさん"" ","
","
",実用品・普段使い,自分用,はじめて,"
","送料対策で購入しましたが、なかなか良いです。　

ツルツルサラサラになります。　

髪が多い方はボリュームダウンにいいかも。"
2015-11-24,4,"ゲストさん"" ","
","
",実用品・普段使い,自分用,はじめて,"
",これまでと違うタイプを購入しました。自分の髪質には合っていると思います。
2015-11-22,5,"ゲストさん"" ","
","
",実用品・普段使い,自分用,リピート,"
",いつも使っているルミニーク、送料込みになり他の商品何点かとまとめて買うので助かります。
2015-11-21,5,"""なみへい8721さん"" ",https://review.rakuten.co.jp/my/MWMwNmI1YTkxM2ZlODU_/1.0.0.1/,30代 女性,実用品・普段使い,自分用,はじめて,安い,"かなり良いお買い物です。　

安く買えて良かった( ^ω^ )"
2015-11-11,5,"ゲストさん"" ","
","
",実用品・普段使い,自分用,はじめて,"
",ラックスルミニークは普段から使っています。香りがいいです。髪もきしむ事無く、洗い上がりがいいです。送料無料になる商品なので便利ですね。
2015-10-06,4,"ゲストさん"" ","
","
",実用品・普段使い,自分用,はじめて,気に入ってます,"送料無料でこのお値段は本当にありがたいです。　

いつもは同じラックス ルミニークの アンストレスを使用していますが、こちらのほうがしっとりするような気がします。"
2015-10-04,5,"ゲストさん"" ","
","
",実用品・普段使い,自分用,はじめて,"
","注文番号：298616-20151002-0480067314　

本日届きました。　

数点同梱で送料無料　

お値打ちでした。　

商品は、シュンプーとトリートメントとても気に入っています。　

さすが、ラックス♪"
2015-09-22,4,"ゲストさん"" ","
","
","
","
","
","
","シャンプーとセットで使用していますが香りもとても良く、洗いあがりもキシキシしないので気に入っています。　

もう少し安いと言うことなしです。"
2015-09-17,5,"ゲストさん"" ","
","
",実用品・普段使い,自分用,はじめて,お得でした,近所のドラッグストアよりお安く購入できてよかったです。髪がサラサラになるのでお気に入りの商品です。
2015-09-07,4,"""マグダーレンさん"" ",https://review.rakuten.co.jp/my/ODIyNWQwNGRmZA__/1.0.0.1/,40代 女性,"
","
","
","
",送料無料対策で購入しましたが香りもよくて量も多く大満足です。
2015-08-31,5,"ゲストさん"" ","
","
","
","
","
","
",香りに癒やされます。髪も潤って調子が良いです。
2015-08-25,3,"""markonさん"" ",https://review.rakuten.co.jp/my/ZGM0YWUxZWIwMTMx/1.0.0.1/,50代 女性,"
","
","
","
",まだ使っていませんが、ラックスの商品は好きなのできっと良いでしょう。
2015-08-16,4,"ゲストさん"" ","
","
","
","
","
","
",良いかおりでしっとりするのでよかったとおもいます。
2015-08-07,4,"ゲストさん"" ","
","
",実用品・普段使い,自分用,リピート,"
",色々なノンシリコンをお試し中。その中の一つで送料対策に購入しました。乾燥しがちな髪ですが、なかなかいいです。シャンプーの方が減りが早いので、そっちも送料無料にして頂けると有り難いのに。
2015-07-07,4,"ゲストさん"" ","
","
","
","
","
","
","レビューが遅くなりました。　

お買い物マラソンの買い周りで購入しました。　

使い心地は普通に良かったです。"
2015-06-29,4,"ゲストさん"" ","
","
","
","
","
","
",本当はボトルセットでほしかったのですが、送料無料のためこちらにしました。髪が軽くさらさらになります。
2015-06-28,4,"ゲストさん"" ","
","
",実用品・普段使い,自分用,はじめて,良い香り,送料無料対策のために購入。もともと緑色のアンストレスを使用しており、この商品は初めてでしたが、香りもよく、洗い上がりもしっとり。気に入りました!!
2015-06-26,5,"""mi-ki-000さん"" ",https://review.rakuten.co.jp/my/MWZhYjQzOGU3ZTU2/1.0.0.1/,30代 女性,実用品・普段使い,自分用,リピート,"
",お気に入りのトリートメントです。とてもしっとりするし香りも癒されます。
2015-06-26,5,"""mi-ki-000さん"" ",https://review.rakuten.co.jp/my/MWZhYjQzOGU3ZTU2/1.0.0.1/,30代 女性,実用品・普段使い,自分用,リピート,気に入っています,髪がとてもしっとりします。香りがとてもよく癒されます。続けたいです。
2015-06-22,4,"ゲストさん"" ","
","
",実用品・普段使い,自分用,はじめて,"
",とにかく安い！いつもは近所の薬局で購入していますが、それよりも低価格で購入できたので満足です。
2015-06-20,5,"ゲストさん"" ","
","
","
","
","
",さらつやです！,"送料対策で購入しましたが、いつもルミニークを使っています。　

ノンシリコンの中でも、なかなかいい仕事してくれます。　

さらさら、ツヤツヤで、パサつき広がりも抑えてくれます。　

緑のパッケージの香りが好きなので、緑も送料無料になると助かります。"
2015-06-20,5,"""まーまま1999さん"" ",https://review.rakuten.co.jp/my/MWMzZTY5NTIzNjQ1NGIxMg__/1.0.0.1/,50代 女性,"
","
","
","
",普段からこちらをシャンプーとセットで使用しています。指通り良く香りも女性らしくお気に入り。今回は送料対策に、あっても困らない物という事で購入しましたが、シャンプーの方が減りが早いので送料無料のシャンプーがあればそちらを購入したと思います。
2015-06-14,5,"ゲストさん"" ","
","
","
","
","
","
","送料合わせにたまただ買ったものですが、とてもよかったです。　

これまでノンシリコンのシャンプーとトリートメントを使ってたらパサパサになってしまった髪が戻りました。　

こちらの商品、ノンシリコンなのはシャンプーだけかもしれませんが、キシんで不快な思いをするくらいならシリコン入りでいいです。"
2015-06-05,5,"""_（*^_^*）_さん"" ",https://review.rakuten.co.jp/my/ZjQ3MjhiYzQxZDFh/1.0.0.1/,50代 女性,"
","
","
",リピート,"298616-20150531-0674402139　

送料対策ではありますが、我が家はずっとこれなので、安く買えて本当にありがたいです。"
2015-06-02,4,"ゲストさん"" ","
","
",実用品・普段使い,自分用,はじめて,"
","初めて利用させていただきます。　

今回、ラックスルミニークの送料別と送料込のものを合わせて購入させていただきました。どこのお店よりも商品価格や送料がお得だった為、こちらにさせていただきました。　

今後も、利用を検討したいと思っています。"
2015-05-20,5,"""takara1141さん"" ",https://review.rakuten.co.jp/my/ZGVmNjIxMzMzMDA5NTM_/1.0.0.1/,50代 男性,実用品・普段使い,家族へ,はじめて,普段使い用,"普段から使っている商品です。　

（とても良く髪になじみます♪）"
2015-05-19,4,"ゲストさん"" ","
","
","
","
","
","
",ノンシリコンでもきしまずしっとり。リピートで購入しました。
2015-05-15,4,"""Ｋｕｒｕｍｉｎｂｏさん"" ",https://review.rakuten.co.jp/my/MzY4ZTJlN2QzMTBkMzIxYg__/1.0.0.1/,30代 女性,"
","
","
",安いです,"普段使っているのですが、近所のドラッグストアよりも安いので他の日用品と一緒にまとめ買いで購入しました。　

ノンシリコンはぬめらないのでお風呂の掃除も楽だし頭皮に汚れがたまりにくいらしく美容院でも褒められました(*^^)v　

LUXは元々長年使っていたブランドなので最近こちらを愛用しています。"
2015-05-07,5,"""リカローズさん"" ",https://review.rakuten.co.jp/my/OTNlZGQyOGNjZjYzMzcxMA__/1.0.0.1/,30代 女性,実用品・普段使い,自分用,はじめて,レビュー見て購入決めました。,ラックスルミニークとても気に入りました。また購入します。
2015-05-06,4,"""よーらいさん"" ",https://review.rakuten.co.jp/my/MGE2NGZhOGQ2OTY0NDcxOQ__/1.0.0.1/,50代 女性,"
","
","
",リピです。,二回目の購入です。香りも良く髪がサラサラになります。とても癒されます。他の商品も送料無料になり大助かりです。
