,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
日付,評価,名前,プロフィールURL,年代・性別,使い道,使う人,購入した回数,レビューのタイトル,レビューの本文
2017-11-06,5,"ゲストさん"" ","
","
",実用品・普段使い,家族へ,リピート,リピ買いです。,"いつもこちらを購入しています。　

縮毛矯正の髪にも問題なく使用でき　

値段も安く大満足です。"
2017-11-01,3,"""ウンパルンパママさん"" ",https://review.rakuten.co.jp/my/ZTEwODdlYjYyZDVkODA_/1.0.0.1/,50代 女性,実用品・普段使い,家族へ,リピート,"
","長年パンテーンを使ってきました。　

私には合ってたようで、高いシャンプーを買う必要はないなと思ってましたが、最近なんだかちょっとパサつくような気がします。パンテーンが変わったのか私がかわったのか…ただ家族は何も言いませんので、このまま家族は使うと思います。"
2017-11-01,5,"""mime0727さん"" ",https://review.rakuten.co.jp/my/OGZmNDQyMzAzMDBjNWIxZg__/1.0.0.1/,50代 女性,実用品・普段使い,自分用,はじめて,本当にサラサラ,"商品は本当にサラサラしてるのにまとまりがありとても良いと思います　

こちらのショップも 注文してすぐに届きました。　

シャプーやトリートメントは重いので助かります　

それに7回分がこのお値段なので素晴らしい"
2017-10-10,5,"ゲストさん"" ","
","
",実用品・普段使い,自分用,リピート,お得！,"いつもこちらを使用しており、とてもお得でしたので購入しました！　

他の方のレビューに、重くて詰め替えが大変、とあり、妊娠中のため、心配でしたが、妊婦でもそれほど大変ではなく、スムーズに詰め替えできました！"
2017-10-06,4,"ゲストさん"" ","
","
","
","
","
",自宅から出られないので。,自宅から出られないので、ネット注文しました。早く届いてくれると助かります。
2017-09-14,5,"""eby1215さん"" ",https://review.rakuten.co.jp/my/ZDg4ZjE4NzdjZjZkMmMxOQ__/1.0.0.1/,50代 女性,実用品・普段使い,自分用,リピート,大容量でバッチリ,大容量なのでしばらく購入しなくてすみそうです。
2017-09-06,4,"""kingofwildさん"" ",https://review.rakuten.co.jp/my/NzU3MmRmMDhlYjMwYzQ_/1.0.0.1/,40代 男性,"
","
","
",満足です。,普段使っている商品の特大版ですが、割安感とかはあまりないです。
2017-08-30,5,"ゲストさん"" ","
","
",実用品・普段使い,家族へ,はじめて,大容量でお得,6本分の詰め替えは初めて購入しました。このサイズは、街の店だと、なかなか売っていませんが、自宅へ届き、この値段はありがたいです。
2017-08-29,4,"ゲストさん"" ","
","
",実用品・普段使い,家族へ,リピート,お得,リポーターの一人です。身内にも喜ばれます
2017-08-26,4,"""どんぽんさん"" ",https://review.rakuten.co.jp/my/M2RlODdkMGNmMjhkNDk_/1.0.0.1/,30代 女性,"
","
","
",見なかった自分の責任ですが,"シャンプーとコンディションナーの回数が違うのですね、６回分と７回分でした　

きちんと見ないとこういうことになるんですね、なぜ回数が違うのだろうという疑問が残るまま"
2017-08-26,5,"""ヤットンママさん"" ",https://review.rakuten.co.jp/my/NTAzNWUyZTQyZWM0MjMxYQ__/1.0.0.1/,40代 女性,実用品・普段使い,自分用,はじめて,お買い得でした！,パンテーンは１０年以上愛用しています。途中、他の大手メーカーのものを試したりしたこともありますが、やはりこれが一番！！香りも好きですね。
2017-08-22,5,"ゲストさん"" ","
","
",実用品・普段使い,自分用,はじめて,安いです,クーポン利用でお安く買い物できました。満足です。
2017-08-11,5,"ゲストさん"" ","
","
",実用品・普段使い,家族へ,リピート,お得,パンテーンを家族で利用しているため、このサイズは大変お得です。
2017-08-02,5,"ゲストさん"" ","
","
","
","
","
","
",この商品を気に入っていて使い続けているので、大きいサイズでお得なのが嬉しいです。
2017-07-27,5,"ゲストさん"" ","
","
",実用品・普段使い,自分用,はじめて,お得です。,"長く使い続けたいので、大量買いしてみました。　

こちらに変えてから美容室で、「髪質変わりましたね！落ち着いてる」と言われ嬉しかったので、おすすめします。"
2017-07-27,5,"ゲストさん"" ","
","
",実用品・普段使い,家族へ,はじめて,大容量,でかくてびっくり〜必需品なので重い荷物を届けてもらえて助かります。
2017-07-18,5,"ゲストさん"" ","
","
","
","
","
",なんだかんだで、これ,値段の高いサロンシャンプーも使っていましたが、この商品と差異ないように、感じてしまいます。
2017-07-15,5,"ゲストさん"" ","
","
",実用品・普段使い,自分用,はじめて,満足です,いつも使ってるシャンプーが格安で購入できて嬉しいです。
2017-07-11,5,"""匿名希望4797さん"" ",https://review.rakuten.co.jp/my/NTk0YWUyZjdmODljNDM_/1.0.0.1/,30代 女性,実用品・普段使い,家族へ,はじめて,"
",普段見かけない大きさでとてもお得だったので購入しました。なくなったらまたリピートします。
2017-07-04,4,"ゲストさん"" ","
","
",実用品・普段使い,自分用,はじめて,お得でした,"初めて購入しました。　

包装も行き届き、とても丁寧に商品を取り扱って頂いているので安心しました。　

また利用してみたいサイトでした。"
2017-06-30,4,"""ハニーとハナさん"" ",https://review.rakuten.co.jp/my/NzQxMjhlZTZiYzM3M2ExZg__/1.0.0.1/,30代 女性,実用品・普段使い,家族へ,はじめて,旦那用に,"パンテーンパンテーンうるさい旦那。　

ノンシリコンのちょっといいやつ買っても文句を言われるので笑、安いパンテーンでいいならありがたいことだ！　

ちょうどシャンプーがなくなりそうなので助かりました。　

自分では使わなく分からないので星４つにしました。"
2017-06-28,5,"ゲストさん"" ","
","
",実用品・普段使い,家族へ,はじめて,"
",この量のは市販では売っているのを見かけないので、一回一回買いに行かなくてもよくお得なので助かります&amp;#8252;
2017-06-27,5,"ゲストさん"" ","
","
","
","
","
",お薦めです,"使ってみればわかりますが、リンスインシャンプーよりもヘヤケア効果を感じます。　

容量が多くのでお買い得です。"
2017-06-25,4,"""ママanzuさん"" ",https://review.rakuten.co.jp/my/NjM4YWExM2JhZGU2MjQxOA__/1.0.0.1/,60代 女性,"
","
","
","
",リピ購入です。送料が安いので何時もまとめ買いで利用させてもらってます。
2017-06-21,5,"ゲストさん"" ","
","
",実用品・普段使い,自分用,リピート,リピート買いしました。,【リピ2 回目】17.1月に購入しまだ詰め替えあと1回分くらい残っていますが楽天スーパーセールに合わせて、17.6月にリピート買いしました。以前とパッケージデザインが変わったのですね。全く問題なく使用しております。またリピート買いすると思います。痒みもなく使えているし基本はこのシャンプーです。たまーに、他のシャンプーを使ってみたくなりますがまたコレに戻ります！主人も文句なしで使ってくれています。
2017-06-20,4,"ゲストさん"" ","
","
",実用品・普段使い,家族へ,はじめて,お買い得,"シャンプーはだいたいこれなのでこの容量は助かります。　

お値段もお得でした。"
2017-06-20,4,"""刹鬼０９０８さん"" ",https://review.rakuten.co.jp/my/MjU3MWU0MTE3NzU1/1.0.0.1/,30代 女性,"
","
","
",家族が多いので、助かります,毎日使用するので、すぐに補充してましたが、家族が多いので助かります
2017-06-20,4,"""刹鬼０９０８さん"" ",https://review.rakuten.co.jp/my/MjU3MWU0MTE3NzU1/1.0.0.1/,30代 女性,"
","
","
",家族が多いので、助かります,毎日使用するので、すぐに補充してましたが、家族が多いので助かります
2017-06-20,5,"""Nonkunさん"" ",https://review.rakuten.co.jp/my/NmZiMmZkNzVhNTM4/1.0.0.1/,50代 男性,実用品・普段使い,家族へ,はじめて,コンデショナーと共に,定期的にシャンプー、コンデショナーのブランドを変えていますが最近はパンテーンです。特に最近リニュアルしたのか香りが以前と比べて高級感を増してエエ感じになりました。この商品は6回分で今回シャンプー7回分の特別品と同時に購入。さすがにしばらくもちそうです。
2017-06-19,4,"ゲストさん"" ","
","
","
","
","
","
",パンテーンよりLUX派だけど大容量に惹かれ購入してみました。２Lってすごい…
2017-06-04,4,"ゲストさん"" ","
","
",実用品・普段使い,家族へ,はじめて,大容量、良いです,"特大サイズなので惜しみなく使えます　

とても助かります。"
2017-06-02,5,"ゲストさん"" ","
","
",実用品・普段使い,自分用,はじめて,大きいです,とても大きいので保管場所にはちょっと困るけど、長持ちするので買い物の手間が省けそうです。
2017-05-26,3,"ゲストさん"" ","
","
",実用品・普段使い,家族へ,はじめて,"
",傷んだ髪にしっとりなじんで、髪がさらさらになりました。量が多すぎて収納に困ります。
2017-05-26,5,"ゲストさん"" ","
","
",実用品・普段使い,家族へ,リピート,良い香り,パンテーンを愛用してます。2リットルでこの価格は有りがたいです。また買ってしまいました。
2017-05-23,4,"ゲストさん"" ","
","
","
","
","
","
",リピ買いです。大容量なので家族で毎日使っています。
2017-05-08,5,"""ボタン056さん"" ",https://review.rakuten.co.jp/my/Njc1ZTI5MzQyOWNkMmMxZA__/1.0.0.1/,50代 女性,"
","
","
",家族全員これです,コスパと髪の事を考えて一番いい物をと娘が選んだのが、パンテーンでした。以来、家族の者全員パンテーンです。大き目のボトルに補充して使っていますが、すぐになくなってしまうのでこの超特大を購入しました。また、購入したいと思います。
2017-04-22,5,"""どんちゃん3064さん"" ",https://review.rakuten.co.jp/my/MWMxNWM3MTVjYzJhMzIxMQ__/1.0.0.1/,40代 女性,実用品・普段使い,家族へ,はじめて,"
",4/18注文→4/20発送→4/21到着♪♪♪ 早い 対応ありがとうございます。パンテーン・シャンプー2キロ1728円、コンディショナー1.7キロ1728円、お風呂で使用するルックの防カビ・カビ取り3個パック1316円、合計4772円。金額が超えたので送料無料でした。色々シャンプー使いましたが、パンテーンに戻ってきました。防カビはいつも使用しています。どちらも大満足です♪♪♪
2017-04-11,4,"ゲストさん"" ","
","
",実用品・普段使い,家族へ,リピート,"
","通常見たことないサイズだったので購入しました。　

特大サイズなのでお得でたすかりました。"
2017-04-11,5,"ゲストさん"" ","
","
",実用品・普段使い,家族へ,はじめて,"
",超特大は初めて購入しました。重いので届けて頂けるのは助かります。
2017-04-05,4,"""sugaken229さん"" ",https://review.rakuten.co.jp/my/ZjgxN2ZjZWQ4MWYyMzQ_/1.0.0.1/,60代 男性,実用品・普段使い,家族へ,はじめて,まとめ買いでお得感あり,スーパーの安売りに目を光らせるよりこの商品だと安心だね。しばらくは持ちどう。
2017-04-04,5,"ゲストさん"" ","
","
","
","
","
","
","商品到着が物凄く速かったです。　

お品物もたっぷり2リットルで、ストックしながら使用するのに最適です。　

また利用したいです。"
2017-03-17,5,"ゲストさん"" ","
","
","
","
","
",パッケージ,使用人数が多いので大きいのがあって助かります
2017-03-01,4,"ゲストさん"" ","
","
",実用品・普段使い,自分用,はじめて,コンデイショナーに合わせて,コンデイショナーがお気に入りで合わせてシャンプーも選び使っています。浮気しても結局このシャンプーに戻ってます。
2017-02-28,5,"ゲストさん"" ","
","
",実用品・普段使い,家族へ,はじめて,"
",人数多くてすぐなくなるからこんな大量がありよかったです。買いに行く手間はぶけました。
2017-02-18,5,"""さおりん◎さん"" ",https://review.rakuten.co.jp/my/NWE1MmRlOGU3Nw__/1.0.0.1/,40代 女性,"
","
","
",一度買うとしばらく購入不要,たびたびの買い物が面倒くさい人には最適です。
2017-02-11,5,"""カメのたっくんさん"" ",https://review.rakuten.co.jp/my/MTNmMDAzOTZhNg__/1.0.0.1/,40代 女性,"
","
","
",とても良いです,"髪がしっとりとしました。　

すぐになくなってしまうシャンプー、特大サイズはとても助かります。　

またリピしようと思います。"
2017-02-06,5,"ゲストさん"" ","
","
",実用品・普段使い,家族へ,はじめて,この大きさ,この大きさだと重いし、店にもなかなか無いので助かりました。
2017-02-03,5,"ゲストさん"" ","
","
",実用品・普段使い,自分用,はじめて,オススメできます！,髪の長い人や、消費の多い人にはとってもオススメです。でも何回分っていうのは会社のものだから、あんまり…目安程度にするといいと思います。
2017-02-02,5,"ゲストさん"" ","
","
","
","
","
",大容量です,"ホームセンダーで一回分ずつ買うのが大変だったので、こちらを購入。　

玄関まで届けてもらえるし、シャンプーボトルを大きいものにすれば、詰め替えの手間も減るので重宝しています。"
2017-01-30,5,"ゲストさん"" ","
","
",実用品・普段使い,自分用,リピート,いつも使っているので。,いつも使っているのでこれじゃあないといけないので、大容量は助かります。嬉しいです。
2017-01-20,5,"ゲストさん"" ","
","
",実用品・普段使い,自分用,はじめて,お買得,想像以上に大きかったです。当分買わなくて良さそう。配送してもらえるのは本当にありがたいです。
2017-01-12,5,"ゲストさん"" ","
","
",実用品・普段使い,家族へ,リピート,お買い得です,"たっぷり入っているので、お財布にも、環境にもエコです。　

家族みんなで使っています。"
2017-01-11,5,"ゲストさん"" ","
","
",実用品・普段使い,自分用,リピート,６袋分のようです！特大です！,【我が家の定番】痒みもなく使えているし、雑誌でもベストバイとして掲載されているので、基本はこのシャンプー。とろみがあるので、手のひらに伸ばして頭のあちこちに付けてから泡だてます。主人も文句なしで使ってくれます。初めてコチラの特大サイズを買いました。かなりデカイので、シャンプーが切れて慌てて他のシャンプーを買うこともなくなりそうです。
2017-01-10,5,"ゲストさん"" ","
","
","
","
","
",満足,すぐに届きました。ありがとうございました。
2016-12-26,3,"ゲストさん"" ","
","
",実用品・普段使い,自分用,はじめて,良いお品です♪,"良いお品ですが・・・　

他店の方が、はるかに安くちょっとがっくりでした。"
2016-12-23,5,"""yumiyumi6096さん"" ",https://review.rakuten.co.jp/my/ZmRkYjdkMzI2NDdhMmMxMA__/1.0.0.1/,40代 女性,実用品・普段使い,家族へ,リピート,いつものパンテーンです,"娘と長年愛用しています。　

香りとしっとり感が良いです。　

大容量でお得、しばらくは安心です。　

ネット注文は断然 大容量で届けてもらうのがいい！"
2016-12-17,5,"""あぷる55さん"" ",https://review.rakuten.co.jp/my/YjcwNDliM2ExODE1/1.0.0.1/,40代 女性,実用品・普段使い,家族へ,リピート,愛用品です,"パンテーンを使い始めたら、　

パサつきや髪の広がりが気にならなくなりました。　

香りも良く、家族皆使っているので特大サイズをは助かります♪"
2016-12-15,5,"""いーぐれっと4500さん"" ",https://review.rakuten.co.jp/my/MWFhOTY1MWU2MzcyNWM_/1.0.0.1/,50代 女性,実用品・普段使い,家族へ,はじめて,"
",いろいろシャンプーも変えていましたがたんとなくこちらに落ち着き、大容量を購入しました。スクリューキャップで何回分か分けて使用しても問題ありません。ゴミも少なくなりお得だし、で、大好きです、大容量！また次の機会もお願いします！
2016-12-14,5,"ゲストさん"" ","
","
",実用品・普段使い,自分用,はじめて,早い,日用品で重い物なので早く届いて助かります！
2016-12-06,4,"ゲストさん"" ","
","
",実用品・普段使い,"
",リピート,安定の品,使用感も悪くない、容量も。我が家の定番です。
2016-11-22,5,"ゲストさん"" ","
","
",実用品・普段使い,自分用,はじめて,"
",いつも使う商品で特大サイズがあるのことにビックリでした。置場所に困らなければお買得です◎
2016-11-14,4,"""めく0578さん"" ",https://review.rakuten.co.jp/my/N2RlM2Q3NGQ2ZjI1N2YxYg__/1.0.0.1/,30代 女性,実用品・普段使い,家族へ,はじめて,安いので。,割引もあり安いので買いました。母と半分こします。ありがとうございました。
2016-10-26,5,"""hatake1106さん"" ",https://review.rakuten.co.jp/my/NDI0MzJkMjcxNTQw/1.0.0.1/,30代 女性,"
","
","
","
",パンテーンをいつも買っているのですが、このサイズは見たことがなかったので買ってみました。なかなかなくならないです。
2016-10-25,5,"ゲストさん"" ","
","
",実用品・普段使い,家族へ,はじめて,お安くかえました。,いつも使っているシャンプーなので、大容量だし、お安く買えたので、何度も買いに行かなくてもいいので、助かります。
2016-10-16,5,"ゲストさん"" ","
","
",実用品・普段使い,家族へ,はじめて,お得！,容量が多いのでかなり持ちます。届くのも早いのでとても助かりました。
2016-10-14,4,"""さくら27039704さん"" ",https://review.rakuten.co.jp/my/ZmEwMWUxOTZhNGQ0MzcxYg__/1.0.0.1/,50代 女性,実用品・普段使い,家族へ,はじめて,パンテーンPRO-V,以前からツカッでおり、配送も無料なのでよかっだです。。。。。。。。。。。。。。。
2016-10-03,5,"""nonkee.comさん"" ",https://review.rakuten.co.jp/my/NTAxOTRjYTBjYTYzOGE_/1.0.0.1/,50代 男性,"
","
","
","
",安く購入ができて、対応も早く、申し分ございません。ありがとうございます。
2016-09-18,5,"ゲストさん"" ","
","
",実用品・普段使い,家族へ,はじめて,よい,クーポンをつかえば他店よりやすくなったのでお得です。
2016-09-15,5,"""mikatantoさん"" ",https://review.rakuten.co.jp/my/ZTcxNTc4ZTgwZmRmMzk_/1.0.0.1/,30代 女性,"
","
","
","
",置いておいても困らないし、値段にも満足しています。髪にも優しいシャンプーだと思います。
2016-09-13,5,"""poziziさん"" ",https://review.rakuten.co.jp/my/YzEzMGNlZWUwYmMxMWI_/1.0.0.1/,40代 女性,実用品・普段使い,自分用,リピート,"
",大家族なので、大容量なのが気に入っています。詰め替えやすいです。
2016-09-09,3,"""じゅらん太さん"" ",https://review.rakuten.co.jp/my/OTViY2U1NDhkMGY3/1.0.0.1/,50代 女性,実用品・普段使い,自分用,リピート,重いっ！,"お得です。たっぷり入っているので家族で使う我が家にはぴったりです。　

でもあまりにもたっぷりで詰め替えが大変かも。"
2016-09-01,5,"ゲストさん"" ","
","
",実用品・普段使い,家族へ,はじめて,"
",いつも使用しているシャンプーで、詰め替え頻度が多く、超特大サイズで安く重宝しています。
2016-08-23,5,"""ポツダム☆さん"" ",https://review.rakuten.co.jp/my/MmFiMjIzOTU2MTE2NGQxMg__/1.0.0.1/,30代 男性,"
","
","
",いつも使ってます,家族の多い私にはこの大容量の詰め替え用は大助かりです。シャンプーとしての質もまあまあで気に入ってます。
2016-08-23,5,"""ポツダム☆さん"" ",https://review.rakuten.co.jp/my/MmFiMjIzOTU2MTE2NGQxMg__/1.0.0.1/,30代 男性,"
","
","
",大容量は助かる,家族が多いのでシャンプーの消費も多く、こちらのサイズが助かります。
2016-08-19,5,"""yumiyumi6096さん"" ",https://review.rakuten.co.jp/my/ZmRkYjdkMzI2NDdhMmMxMA__/1.0.0.1/,40代 女性,実用品・普段使い,家族へ,はじめて,デカイです,"直ぐに無くなってしまうので、　

デカイのデカイのと探して見つけました！　

梅雨の季節から夏にかけて、　

 生乾きの髪だと　

変な香りのするシャンプーってありますが。。。　

パンテーンは変わらずいい香り♪　

＆ツヤツヤ♪　

脂分の多い娘の髪に。　

 大容量で安心です！"
2016-08-17,5,"""pinkrose0925さん"" ",https://review.rakuten.co.jp/my/OTIzYWFjZDNlYzI5M2MxNA__/1.0.0.1/,20代 女性,実用品・普段使い,家族へ,はじめて,大容量で感動！,3回分という詰替えは売っていますが6回分は見た事が無く、勢いで2個購入してしまいました 笑 シャンプーは何故かすぐ無くなってしまうのでこの容量は助かります◎
2016-08-17,5,"""２３９１１さん"" ",https://review.rakuten.co.jp/my/YTgzMWQzYjkxOTJiM2YxNQ__/1.0.0.1/,60代 女性,実用品・普段使い,自分用,はじめて,よかったです。,量が多くてよかったです。詰め替え用だとごみも出ないのでいいです。
2016-08-17,5,"""adgjmptwz0981さん"" ",https://review.rakuten.co.jp/my/ZDBjOWU4MWE2Njg2MjQ_/1.0.0.1/,50代 女性,実用品・普段使い,家族へ,はじめて,これで、安心,シャンプーは、詰め替えしてもすぐに無くなるので、こんなにたくさんの詰め替えなら安心です。
2016-07-30,5,"ゲストさん"" ","
","
",実用品・普段使い,子供へ,リピート,"
",息子が愛用しているのですが息子の髪質には合っているみたいでずっとﾘﾋﾟしています。
2016-07-24,5,"ゲストさん"" ","
","
",実用品・普段使い,家族へ,はじめて,満足です,大容量でお得でした。まとめ買いです。また買いたいです。
2016-07-14,5,"ゲストさん"" ","
","
","
","
","
",めっちゃ便利！！,"こんなに大きいサイズは 店舗では見たことなかったので　

うれしいです！！　

予備に小さいのをいくつも買うと 保管場所に困るのですが　

こちらは 1袋でいいので とっても満足してます♪"
2016-06-28,5,"""ぼびいばれんこさん"" ",https://review.rakuten.co.jp/my/NTY1ZmJlYWIwYzhjYzg_/1.0.0.1/,50代 女性,実用品・普段使い,自分用,はじめて,とてもお得です。,"近所のドラッグストアよりお安く、　

自宅まで配送してもらえるので　

助かります。"
2016-06-27,5,"""イデオロキーさん"" ",https://review.rakuten.co.jp/my/ZTg4MzljNjUyZTY0MjU_/1.0.0.1/,30代 女性,実用品・普段使い,自分用,はじめて,すぐ届きました！,"スーパーセール期間でしたがすぐ届きました！　

重たいのでネットで買えてしかも安くて助かります。リピートしたいと思います。"
2016-06-25,5,"ゲストさん"" ","
","
",実用品・普段使い,自分用,はじめて,シャンプー、リンスを購入。,261122-20160619-0228426158/普段は、パンテーンのボトルや、詰め替えで購入していましたが、大容量を見つけて購入。広がりを抑えてくれ、サラサラのなるので、パンテーンを愛用しています。大容量好きなので、嬉しい限りです。
2016-06-24,5,"ゲストさん"" ","
","
",実用品・普段使い,自分用,はじめて,"
","店頭では見た事のないサイズで、当分買い足しの必要がなく、助かります。　

６回分ですが、置き場もそこまで幅を取りません。"
2016-06-22,5,"""aketan1022さん"" ",https://review.rakuten.co.jp/my/ZDRhMzYyNzBkYjcxNmExOA__/1.0.0.1/,60代 女性,実用品・普段使い,家族へ,はじめて,パンテーン エクストラダメージシャンプー,"6回分とは驚きでした 発注から 配送　

が早くて 安値にドラックに出向くのも ままならず 本当にこの量は　

  助かります"
2016-06-22,4,"ゲストさん"" ","
","
",実用品・普段使い,家族へ,はじめて,"
","とっても特大で、しかもお得でよかったです！　

どうしても重たいシャンプーやコンディショナー。　

お店で買うと持ち帰りが大変で、しかもまだ小さい子どももいるので、このような形での購入は大変助かります。今後も必ずこれで購入します。　

すぐに配送もしていただきありがとぅございました。"
2016-06-20,5,"ゲストさん"" ","
","
",実用品・普段使い,自分用,リピート,"
",超特大サイズは場所を取るけど、たくさん入っていて良いです。都度買いに行くのは面倒なので。近くには無いし、重たいので配送して貰えるのが助かっています。
2016-06-12,5,"ゲストさん"" ","
","
",実用品・普段使い,自分用,はじめて,2Lサイズ。コレは便利な商品を見つけた！！,"やはり6回分とあって、大きいです。実店舗でも2回分はよく見かけますが、この分量は初めて見ました。　

まず、持ち帰るのが困難な重さなので、お家まで宅配してもらえるのはとても助かります。　

超特大サイズ。コレは便利な商品を見つけた！！！　

( ´∀｀ )b"
2016-06-09,5,"ゲストさん"" ","
","
","
","
","
","
",大容量で値段が安く、買いに行く手間が省けていいです。
2016-06-09,5,"ゲストさん"" ","
","
","
","
","
","
",大容量で値段が安く、買いに行く手間が省けていいです。
2016-05-28,5,"""ema8146さん"" ",https://review.rakuten.co.jp/my/MzU2ZDQwNDRiOWJmY2M_/1.0.0.1/,30代 女性,実用品・普段使い,自分用,はじめて,お得な品,シャンプーとリンスをこの大容量で一緒に購入すると送料無料の金額になるためまとめて買いました。とてもお得な買い物ができたと思います。
2016-05-22,5,"ゲストさん"" ","
","
","
","
","
",まとめ買い,愛用品を手ごろな価格でまとめ買いができました。
2016-05-19,5,"""neo_shihoさん"" ",https://review.rakuten.co.jp/my/YjhiYzk0Zjk4YTc4/1.0.0.1/,40代 女性,"
","
","
","
",重たいものを安くかえるので大助かりです＾＾
2016-05-17,5,"ゲストさん"" ","
","
","
","
","
","
",大容量なので、何回も詰め替え用を、買わなくていいので楽です
2016-05-13,5,"""やんま〜8116さん"" ",https://review.rakuten.co.jp/my/YjI3NWYyY2VlMDNh/1.0.0.1/,40代 男性,実用品・普段使い,家族へ,はじめて,買い置きに便利,詰め替えボトルを使っているので、とてもお得な買い物ができました。
2016-05-09,5,"""ぺこちゃんさん"" ",https://review.rakuten.co.jp/my/ZDUxNzU5YmYzNQ__/1.0.0.1/,40代 女性,実用品・普段使い,家族へ,リピート,"
","家族に購入しました。　

硬い髪もまとまりやすくて、香りも良いです。　

6回分はなかなかないので、こちらで購入出来て良かったです。"
2016-05-07,5,"""赤青黄色っちさん"" ",https://review.rakuten.co.jp/my/NDY3MzhhMWYwYmEyMjI_/1.0.0.1/,30代 男性,実用品・普段使い,自分用,リピート,ストック用に！！,"愛用し続けており、何度もリピートしているので　

６回分という本品を今回は選択しました。　

シャンプーとしての役割も問題なく　

香りも我が家では評判が良いです。　

コンディショナーとの相性も良いので　

無くなったら、また購入したいと思います。"
2016-05-04,3,"""melocoton6380さん"" ",https://review.rakuten.co.jp/my/NTE5OTM3YzBlNzY3MzAxOA__/1.0.0.1/,20代 女性,"
","
","
",安！,この量でこの値段はお得。肝心の使い心地は普通ですが。
2016-04-26,5,"""たつ0129さん"" ",https://review.rakuten.co.jp/my/NWFlNTRkMWZjMzRjMmQxZQ__/1.0.0.1/,20代 男性,"
","
","
",気に入って使っています,におい、洗い上がりともに満足しています。
2016-04-10,5,"ゲストさん"" ","
","
","
","
","
",ありがとうございました！,すぐ届きました。ありがとうございました！
2016-04-04,4,"""奈菜平さん"" ",https://review.rakuten.co.jp/my/ZTc5ODhkM2Q5ZTViMjQxZg__/1.0.0.1/,50代 女性,実用品・普段使い,子供へ,はじめて,即買いです！,特大サイズを見つけて即注文しました。何個も買うと重たいし、他のものも買うと何個も持って歩けないし、家まで届けてもらえて助かります。
2016-04-02,3,"ゲストさん"" ","
","
","
","
","
",お安くなっていたので,お安くなっていたので買い溜めです。また機会があれば買いますね。
2016-03-28,5,"ゲストさん"" ","
","
",実用品・普段使い,自分用,はじめて,ツルツル,コンティショナーと併せて使用すると仕上がりがツルツルになりました。ブリーチ、カラーで髪が傷んでるけど効果ありました。ノンシリコンより効果ありました。
2016-03-27,4,"""masa7asamさん"" ",https://review.rakuten.co.jp/my/Yzc3NGIyMTVmNDMxNDcxOA__/1.0.0.1/,30代 男性,実用品・普段使い,自分用,はじめて,安くて使用感もよい,"他より安いので助かります。　

パンテーンが気に入っています。"
2016-03-23,3,"""melocoton6380さん"" ",https://review.rakuten.co.jp/my/NTE5OTM3YzBlNzY3MzAxOA__/1.0.0.1/,20代 女性,"
","
","
",超特大,とっても量が多いです。店には売っていないので助かります。
2016-03-20,5,"ゲストさん"" ","
","
",実用品・普段使い,自分用,はじめて,お得でした,シャンプーがよくなくなるので、お得に買えて良かったです。コンディショナーはドラッグストアーと同額だったのですが、配送してもらえるので買ってみました。
2016-03-17,5,"""J-FISHさん"" ",https://review.rakuten.co.jp/my/NzBhOTg2NjlkYzEw/1.0.0.1/,40代 男性,実用品・普段使い,自分用,はじめて,しっとり艶髪に,自分の髪質にあっているようで、シャンプーだけでも艶がでてしっとりします
2016-03-16,5,"""ゆか2067さん"" ",https://review.rakuten.co.jp/my/MzhiNWU3YzFhYjJh/1.0.0.1/,50代 女性,実用品・普段使い,自分用,リピート,コンディショナーとともに,"ダメージケア効果が高いと思います　

髪の艶、手触りが良いと思います　

ずっと使っています"
2016-03-16,5,"""けんけん１４４さん"" ",https://review.rakuten.co.jp/my/ZDAwNmJiN2FkNDc0/1.0.0.1/,40代 女性,"
","
","
","
","2000ｍｌはさすがに重い。　

大容量でお得に購入出来ましたが　

初めての詰替えに一苦労。　

通常サイズの詰替えみたいにトロ〜っとではなく 　

ドバ〜っと勢いよく出るので ご注意下さい((笑))"
2016-03-07,5,"ゲストさん"" ","
","
",実用品・普段使い,家族へ,リピート,"
",特大サイズの詰め替えはあまりお店にはないので助かります！
2016-03-06,5,"""natsumimimiさん"" ",https://review.rakuten.co.jp/my/YmQzMmQ5MjAyNDI2M2IxYw__/1.0.0.1/,30代 女性,実用品・普段使い,家族へ,はじめて,いつもこれです。,もう何年もこれを使用しています。大容量の詰め替え用を見つけて嬉しくなり即購入しました。これからも購入したいと思います。
2016-02-21,5,"ゲストさん"" ","
","
",実用品・普段使い,自分用,はじめて,"
",15パーセントオフで、お買得でした。自宅まで届いて普段より安く買えて満足です。
2016-02-20,3,"ゲストさん"" ","
","
",実用品・普段使い,家族へ,はじめて,クーポンでお得に。,"家族に頼まれ購入しました。　

クーポンでお得に購入できました。"
2016-02-16,5,"ゲストさん"" ","
","
",実用品・普段使い,家族へ,リピート,すごい,六個分のものって、見たことあります？びっくりしました。なんといってもこまめに買わなくても、たっぷりあるので長持ちでうれしいです。近くのお店で購入するよりお得なうえ、家までのお届けですから、絶対買いですよね。おすすめ商品です。いい香りが残ります。
