,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
日付,評価,名前,プロフィールURL,年代・性別,使い道,使う人,購入した回数,レビューのタイトル,レビューの本文
2018-12-04,5,"""シホリン44さん"" ",https://review.rakuten.co.jp/my/NzhlZDUzOTM3ZDU1NDkxMg__/1.0.0.1/,30代 女性,"
",家族へ,"
","
",大容量でさいこー！大家族にはたすかります&amp;#9825;
2018-11-28,4,"ゲストさん"" ","
","
",実用品・普段使い,自分用,リピート,"
",いつもこの商品を使ってるので大容量で家まで届けて頂けるので助かります。髪が長くシャンプーはすぐなくなってしまうのでこれくらいの量があると安心です。シャンプーとリンスをパンテーンで揃えていて髪もサラサラになります。私には合っているようです。
2018-11-27,4,"ゲストさん"" ","
","
",実用品・普段使い,家族へ,はじめて,お得,一袋200円の特売が近所の薬局では見なくなりました。いつも使ってる物が安く買えて嬉しいです。
2018-11-25,5,"ゲストさん"" ","
","
","
","
","
","
",大きいサイズだと、詰め替えの最後が少なくすむので良いです
2018-11-18,5,"ゲストさん"" ","
","
","
","
","
","
",家族で使うので大容量で安いし配達されて助かります
2018-11-08,5,"""よ  う  んさん"" ",https://review.rakuten.co.jp/my/ZDY2ZDVhYTg3YWI1MzMxMg__/1.0.0.1/,50代 女性,実用品・普段使い,自分用,はじめて,"
",いつも使っているものが安くて良かったです
2018-11-08,4,"""おがっち3864さん"" ",https://review.rakuten.co.jp/my/MzU5NWE2ZmI1ZmIzMzY_/1.0.0.1/,40代 女性,"
","
","
","
",たっぷりサイズでだいぶもちました。ちょくちょく買いに行く手間がなく、買ってよかったです。
2018-10-31,5,"ゲストさん"" ","
","
",実用品・普段使い,自分用,リピート,"
",毎回利用しています、やすいので便利です。
2018-10-22,5,"""Zaczacさん"" ",https://review.rakuten.co.jp/my/NTU1NjU2YzU0Y2I3NDQ_/1.0.0.1/,30代 男性,"
","
","
","
","超特大の2Lが近くのホームセンターでの取り扱いがなくなってしまったので助かりました。　

2500円以上で送料無料なのも嬉しいです。"
2018-10-21,5,"""野良猫とらさん"" ",https://review.rakuten.co.jp/my/NTQ2MDVkZjY2NjNhOTgxYQ__/1.0.0.1/,40代 男性,実用品・普段使い,家族へ,はじめて,"
","詰め替え用でドラッグストアだと2回分とかを購入するのですが、それでも重いので配達してもらえるのは嬉しい限りです。　

ただこちらの詰め替えシャンプーですが、ボトル6個分に相当するようで大きくて笑ってしまいました。　

ストック場所に注意が必要です。"
2018-10-12,5,"""M＆M1224さん"" ",https://review.rakuten.co.jp/my/MGI0MzQ4ZTg1NDhjNGExOA__/1.0.0.1/,40代 女性,"
","
","
",大きさに大満足です,"郵便の方から受け取るのにあまりの重さにガクッとなりました(;´･ω･)　

ちょくちょくシャンプーを買うよりこうして大容量の物を購入した方がいろいろと楽で　

リピートです　

二つ購入すれば送料も無料だし とってもいいと思います　

またなくなったらリピします"
2018-10-01,4,"ゲストさん"" ","
","
","
","
","
","
",安くてお買い得ですが、詰め替える時重いです。
2018-09-10,5,"""卓々さん"" ",https://review.rakuten.co.jp/my/NWM1ZGNjZWRjZDU3MjIxYQ__/1.0.0.1/,50代 男性,実用品・普段使い,自分用,はじめて,驚きの大容量,こんな大きな付け替え用があるとは知りませんでした。ドラッグストアーでも見たことがありません。恐らくお値段も一番お得なのでしょう。大変満足しています！
